"ID","Player","Team","Position","RkOv","Status","Roster Status","Age","Opponent","FPts","FP/G","Ros","+/-"
"*02un4*","Connor McDavid","EDM","C","1","PSK","Active","29","VAN Thu 7:00PM","134","1.65","85%","-15%"
"*02b70*","Nikita Kucherov","TBL","RW","2","LHB","Active","32","","130","1.71","85%","-15%"
"*02f9l*","Nathan MacKinnon","COL","C","3","TPA","Active","30","SEA Thu 8:00PM","127","1.59","85%","-15%"
"*05w9c*","Macklin Celebrini","SJS","C","4","FZ","Reserve","19","@WPG Thu 6:00PM","112","1.38","85%","-15%"
"*02azb*","Mark Scheifele","WPG","C","5","KR","Active","33","SJS Thu 6:00PM","103","1.27","85%","-15%"
"*048xc*","Nick Suzuki","MTL","C","6","LHB","Active","26","","101","1.23","85%","-15%"
"*03d12*","David Pastrnak","BOS","RW","8","GRN","Active","29","","100","1.3","85%","-15%"
"*049k7*","Martin Necas","COL","RW","7","TPA","Active","27","SEA Thu 8:00PM","100","1.28","85%","-15%"
"*02yjl*","Leon Draisaitl","EDM","C,LW","9","GRN","Active","30","VAN Thu 7:00PM","97","1.49","80%","-14%"
"*04dwj*","Jason Robertson","DAL","LW","10","PA","Active","26","","96","1.17","85%","-15%"
"*04lc0*","Evan Bouchard","EDM","D","11","GRN","Active","26","VAN Thu 7:00PM","92","1.14","85%","-15%"
"*03kra*","Kyle Connor","WPG","LW","12","UPI","Active","29","SJS Thu 6:00PM","92","1.14","85%","-15%"
"*03924*","Jack Eichel","VGK","C","13","GRN","Active","29","","90","1.22","85%","-15%"
"*03rh3*","Kirill Kaprizov","MIN","LW","14","JS","Active","28","","89","1.14","84%","-15%"
"*04mv2*","Cole Caufield","MTL","LW","15","ADB","Active","25","","88","1.09","85%","-15%"
"*031p0*","Jake Guentzel","TBL","LW,RW","16","GRN","Active","31","","88","1.09","85%","-15%"
"*05tqt*","Wyatt Johnston","DAL","C,RW","17","PA","Active","22","","86","1.05","85%","-15%"
"*03mn8*","Clayton Keller","UTA","LW","18","LHB","Active","27","STL Thu 5:30PM","86","1.06","84%","-15%"
"*04xec*","Matt Boldy","MIN","LW,RW","19","PA","Active","25","","85","1.12","84%","-15%"
"*03v70*","Alex DeBrincat","DET","LW","20","TPA","Active","28","","85","1.04","84%","-15%"
"*03bfj*","Artemi Panarin","LAK","LW","21","LHB","Active","34","@CGY Thu 7:00PM","84","1.09","83%","-15%"
"*051z0*","Tim Stutzle","OTT","C,LW","22","PA","Reserve","24","","83","1.04","84%","-15%"
"*02nom*","Andrei Vasilevskiy","TBL","G","23","GRN","Active","31","","82","1.41","83%","-15%"
"*042t5*","Tage Thompson","BUF","C,RW","24","GG","Active","28","","81","1","85%","-15%"
"*03ra7*","Zach Werenski","CBJ","D","25","UPI","Active","28","","81","1.08","85%","-15%"
"*03rmx*","Sebastian Aho","CAR","C","26","GRN","Active","28","","80","1.01","84%","-15%"
"*03jvu*","Mitch Marner","VGK","C,LW,RW","27","ADB","Active","28","","80","0.99","83%","-15%"
"*03rih*","Karel Vejmelka","UTA","G","28","JS","Active","29","STL Thu 5:30PM","80","1.27","78%","-15%"
"*02yjj*","William Nylander","TOR","RW","29","JS","Active","29","","79","1.22","83%","-15%"
"*04alw*","Cale Makar","COL","D","31","JS","Active","27","SEA Thu 8:00PM","78","1.05","85%","-15%"
"*05wwg*","Lane Hutson","MTL","D","30","LHB","Active","22","","78","0.95","85%","-15%"
"*0457k*","Jake Oettinger","DAL","G","32","TPA","Active","27","","78","1.44","84%","-15%"
"*027i6*","Mika Zibanejad","NYR","C,RW","33","JS","Active","32","","78","0.96","81%","-15%"
"*04bdb*","Jack Hughes","NJD","C,LW","34","UPI","Active","24","","77","1.26","84%","-15%"
"*03mn9*","Mikko Rantanen","DAL","RW","35","TT","Active","29","","77","1.2","84%","-15%"
"*04lbz*","Quinn Hughes","MIN","D","36","TT","Active","26","","76","1.03","85%","-15%"
"*04ymt*","Lucas Raymond","DET","RW","37","PA","Active","24","","76","0.95","83%","-15%"
"*04y4m*","Connor Bedard","CHI","C","38","GG","Reserve","20","","75","1.09","85%","-15%"
"*00454*","Sidney Crosby","PIT","C","39","PA","Active","38","","74","1.09","84%","-15%"
"*04ad7*","Rasmus Dahlin","BUF","D","40","LHB","Active","26","","74","0.96","84%","-15%"
"*042yb*","Brandon Hagel","TBL","LW","41","UPI","Active","27","","74","1.04","84%","-15%"
"*02unz*","Nick Schmaltz","UTA","C,RW","42","TPA","Active","30","STL Thu 5:30PM","74","0.91","76%","-15%"
"*03e1n*","Adrian Kempe","LAK","RW","45","ADB","Active","29","@CGY Thu 7:00PM","73","0.91","85%","-15%"
"*04o0h*","Dylan Guenther","UTA","RW","44","FZ","Active","23","STL Thu 5:30PM","73","0.92","84%","-15%"
"*02fzm*","Filip Forsberg","NSH","LW","43","JS","Active","31","ANA Thu 6:00PM","73","0.9","83%","-15%"
"*05r1c*","Juraj Slafkovsky","MTL","LW,RW","47","LHB","Active","22","","73","0.89","82%","-15%"
"*01zvf*","Mark Stone","VGK","RW","48","UPI","Reserve","33","","73","1.22","80%","-14%"
"*01f6d*","Ryan O'Reilly","NSH","C","46","LHB","Active","35","ANA Thu 6:00PM","73","0.91","67%","-14%"
"*0322w*","Ilya Sorokin","NYI","G","50","LHB","Active","30","","72","1.31","79%","-15%"
"*02uws*","Mathew Barzal","NYI","C,RW","49","LHB","Active","28","","72","0.89","76%","-14%"
"*01c12*","John Tavares","TOR","C","54","TT","Reserve","35","","71","0.87","83%","-15%"
"*04f2d*","Drake Batherson","OTT","LW,RW","51","TT","Active","27","","71","0.9","82%","-15%"
