"","Skaters"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","Pt"
"*03duf*","C","Dylan Larkin","DET","C","Act","29","MIN 5<br/>@DET 4 F","59","0.84","70","59"
"*03jxy*","C","Auston Matthews","TOR","C","Act","28","","53","0.88","60","53"
"*04yn0*","C","Connor McMichael","WSH","C,LW","Act","25","WSH 1<br/>@NYR 7","42","0.57","74","42"
"*04mv2*","LW","Cole Caufield","MTL","LW","Act","25","NJD 2<br/>@MTL 0","85","1.12","76","85"
"*0042t*","LW","Claude Giroux","OTT","LW,RW","Act","38","CAR 3<br/>@OTT 6 F","45","0.58","77","45"
"*05kua*","LW","Emil Heineman","NYI","LW,RW","Act","24","","30","0.38","78","30"
"*03rab*","RW","Jake DeBrusk","VAN","LW,RW","Act","29","","38","0.51","75","38"
"*03e1n*","RW","Adrian Kempe","LAK","RW","Act","29","","69","0.92","75","69"
"*03jvu*","RW","Mitch Marner","VGK","C,LW,RW","Act","28","","77","1.01","76","77"
"*01f3d*","D","Oliver Ekman-Larsson","TOR","D","Act","34","","38","0.52","73","38"
"*05oxk*","D","Mason Lohrei","BOS","D","Act","25","BOS 1<br/>@PHI 2 F","25","0.36","69","25"
"*02noe*","D","Morgan Rielly","TOR","D","Act","32","","35","0.48","73","35"
"*031nx*","D","Shea Theodore","VGK","D","Act","30","","37","0.57","65","37"
"*066q1*","C","Sacha Boisvert","CHI","C","Res","20","","1","0.2","5","1"
"*06loq*","C","Caleb Desnoyers","UTA","C","Res","18","","0","0","0","0"
"*05kdw*","C","Ridly Greig","OTT","C,LW,RW","Res","23","CAR 3<br/>@OTT 6 F","33","0.46","72","33"
"*06lv1*","C","Jett Luchanko","PHI","C","Res","19","BOS 1<br/>@PHI 2 F","0","0","4","0"
"*06rus*","C","Brady Martin","NSH","C","Res","19","","1","0.33","3","1"
"*05w9b*","C","Calum Ritchie","NYI","C","Res","21","","28","0.46","61","28"
"*059e5*","RW","Jake Neighbours","STL","LW,RW","Res","24","@COL Sun 7:30PM","32","0.52","62","32"
"*03raf*","RW","Brock Boeser","VAN","LW,RW","Res","29","","44","0.64","69","44"
"*02ni5*","RW","Jonathan Marchessault","NSH","RW","Res","35","","31","0.54","57","31"
"*03rag*","RW","Jack Roslovic","EDM","C,RW","Res","29","","34","0.53","64","34"
"*06pyp*","D","Radim Mrtka","BUF","D","Res","18","","0","0","0","0"
"*03161*","D","Darnell Nurse","EDM","D","Res","31","","22","0.29","77","22"
"*06aew*","D","Dmitri Simashev","UTA","D","Res","21","","1","0.04","25","1"

"","Goalies"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","W","SHO"
"*031pl*","G","Juuse Saros","NSH","G","Act","30","","56","1","56","28","0"
"*03yxp*","G","Stuart Skinner","PIT","G","Act","27","FLA 2<br/>@PIT 5 F","48","1.02","47","22","2"
"*04mdc*","G","Logan Thompson","WSH","G","Act","29","WSH 1<br/>@NYR 7","60","1.09","55","28","2"
"*03mkm*","G","Adin Hill","VGK","G","Res","29","","22","0.85","26","10","1"

