"","Skaters"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","Pt"
"*06jhc*","C","Tij Iginla","UTA","C,LW","Act","19","","0","0","0","0"
"*060jl*","C","Jiri Kulich","BUF","C","Act","21","","5","0.42","12","5"
"*05m17*","C","Frank Nazar","CHI","C,RW","Act","22","","39","0.64","61","39"
"*06pyw*","LW","Victor Eklund","NYI","LW","Act","19","","0","0","0","0"
"*05ui5*","LW","Quentin Musty","SJS","LW","Act","20","","0","0","0","0"
"*06axe*","LW","Gabe Perreault","NYR","LW,RW","Act","20","WSH 1<br/>@NYR 7","25","0.56","45","25"
"*04o0h*","RW","Dylan Guenther","UTA","RW","Act","22","","67","0.91","74","67"
"*05xcm*","RW","Jonathan Lekkerimaki","VAN","RW","Act","21","","3","0.23","13","3"
"*03uzr*","RW","Matthew Tkachuk","FLA","RW","Act","28","FLA 2<br/>@PIT 5 F","32","1.07","30","32"
"*04znw*","D","Brandt Clarke","LAK","D","Act","23","","39","0.51","76","39"
"*04an5*","D","Miro Heiskanen","DAL","D","Act","26","","62","0.83","75","62"
"*06axy*","D","Artyom Levshunov","CHI","D","Act","20","","24","0.35","68","24"
"*067xz*","D","Axel Sandin Pellikka","DET","D","Act","21","MIN 5<br/>@DET 4 F","21","0.32","65","21"
"*05w9c*","C","Macklin Celebrini","SJS","C","Res","19","","106","1.41","75","106"
"*0579x*","C","Adam Fantilli","CBJ","C","Res","21","","55","0.71","77","55"
"*06jhd*","C","Anton Frondell","CHI","C","Res","18","","5","0.71","7","5"
"*05gd8*","C","Mason McTavish","ANA","C","Res","23","","36","0.51","70","36"
"*0644e*","C","Oliver Moore","CHI","C,LW","Res","21","","19","0.37","51","19"
"*05ylt*","LW","Zach Benson","BUF","LW","Res","20","","36","0.6","60","36"
"*06ig3*","LW","Cayden Lindstrom","CBJ","LW","Res","20","","0","0","0","0"
"*05rjg*","LW","Danila Yurov","MIN","C,LW","Res","22","MIN 5<br/>@DET 4 F","25","0.37","68","25"
"*05gvo*","RW","Matvei Michkov","PHI","LW,RW","Res","21","BOS 1<br/>@PHI 2 F","43","0.57","76","43"
"*03w5m*","RW","Gabriel Vilardi","WPG","RW","Res","26","","62","0.82","76","62"
"*06bmb*","D","Zeev Buium","VAN","D","Res","20","","24","0.34","70","24"
"*05ril*","D","Simon Nemec","NJD","D","Res","22","NJD 2<br/>@MTL 0","26","0.41","63","26"
"*06gk0*","D","Matthew Schaefer","NYI","D","Res","18","","58","0.74","78","58"

"","Goalies"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","W","SHO"
"*0529k*","G","Yaroslav Askarov","SJS","G","Act","23","","42","0.95","44","21","0"
"*04qyv*","G","Lukas Dostal","ANA","G","Act","25","","58","1.12","52","29","0"
"*02oar*","G","Linus Ullmark","OTT","G","Act","32","CAR 3<br/>@OTT 6 F","54","1.17","46","25","2"
"*04yg5*","G","Jesper Wallstedt","MIN","G","Res","23","MIN 5<br/>@DET 4 F","40","1.25","32","16","4"

