"","Skaters"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","Pt"
"*04zp9*","C","Mavrik Bourque","DAL","C,RW","Act","24","","35","0.45","77","35"
"*048x9*","C","Elias Pettersson","VAN","C","Act","27","","48","0.71","68","48"
"*042t5*","C","Tage Thompson","BUF","C,RW","Act","28","","78","1.01","77","78"
"*05k8c*","LW","Tyson Foerster","PHI","LW","Act","24","BOS 1<br/>@PHI 2 F","14","0.58","24","14"
"*04a9v*","LW","Morgan Geekie","BOS","C,LW,RW","Act","27","BOS 1<br/>@PHI 2 F","63","0.82","77","63"
"*048vf*","LW","Andrei Svechnikov","CAR","LW,RW","Act","26","CAR 3<br/>@OTT 6 F","67","0.87","77","67"
"*042ye*","RW","Jesper Bratt","NJD","RW","Act","27","NJD 2<br/>@MTL 0","67","0.87","77","67"
"*05gdo*","RW","Luke Evangelista","NSH","RW","Act","24","","51","0.68","75","51"
"*05ymj*","RW","Jimmy Snuggerud","STL","RW","Act","21","@COL Sun 7:30PM","39","0.62","63","39"
"*04ldb*","D","Bowen Byram","BUF","D","Act","24","","39","0.51","77","39"
"*05nzz*","D","Simon Edvinsson","DET","D","Act","23","MIN 5<br/>@DET 4 F","24","0.36","67","24"
"*05rj2*","D","Scott Morrow","NYR","D","Act","23","WSH 1<br/>@NYR 7","6","0.21","29","6"
"*04xjf*","D","Owen Power","BUF","D","Act","23","","26","0.34","76","26"
"*04y4m*","C","Connor Bedard","CHI","C","Res","20","","71","1.11","64","71"
"*05r1i*","C","Matty Beniers","SEA","C","Res","23","","46","0.61","75","46"
"*06sqf*","C","Braeden Cootes","VAN","C","Res","19","","0","0","3","0"
"*06bap*","C","Easton Cowan","TOR","C,RW","Res","20","","26","0.42","62","26"
"*06ag2*","C","James Hagens","BOS","C","Res","19","BOS 1<br/>@PHI 2 F","0","0","0","0"
"*05ram*","C","Riley Heidt","MIN","C","Res","21","MIN 5<br/>@DET 4 F","0","0","0","0"
"*06jha*","C","Max Plante","DET","C","Res","20","MIN 5<br/>@DET 4 F","0","0","0","0"
"*05ran*","RW","Matt Coronato","CGY","RW","Res","23","","40","0.53","75","40"
"*05rb9*","C","Conor Geekie","TBL","C,RW","Res","21","","2","0.18","11","2"
"*0644f*","RW","Ryan Leonard","WSH","RW","Res","21","WSH 1<br/>@NYR 7","41","0.58","71","41"
"*06lkx*","RW","Terik Parascak","WSH","RW","Res","19","WSH 1<br/>@NYR 7","0","0","0","0"
"*05ymp*","D","Kevin Korchinski","CHI","D","Res","21","","2","0.25","8","2"

"","Goalies"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","W","SHO"
"*04qyd*","G","Justus Annunen","NSH","G","Act","26","","16","0.64","25","8","0"
"*04yi4*","G","Pyotr Kochetkov","CAR","G","Act","26","CAR 3<br/>@OTT 6 F","14","1.56","9","6","1"
"*051v4*","G","Arturs Silovs","PIT","G","Act","25","FLA 2<br/>@PIT 5 F","42","1.14","37","19","2"
"*05o01*","G","Sebastian Cossa","DET","G","Res","23","MIN 5<br/>@DET 4 F","0","0","0","0","0"
"*03xme*","G","Charlie Lindgren","WSH","G","Res","32","WSH 1<br/>@NYR 7","20","0.95","21","9","1"

