"","Skaters"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","Pt"
"*03rmx*","C","Sebastian Aho","CAR","C","Act","28","CAR 3<br/>@OTT 6 F","78","1.01","77","78"
"*03924*","C","Jack Eichel","VGK","C","Act","29","","82","1.19","69","82"
"*03rae*","C","Joel Eriksson Ek","MIN","C","Act","29","MIN 5<br/>@DET 4 F","48","0.71","68","48"
"*02yjl*","LW","Leon Draisaitl","EDM","C,LW","Act","30","","97","1.49","65","97"
"*031p0*","LW","Jake Guentzel","TBL","LW,RW","Act","31","","84","1.11","76","84"
"*051yz*","LW","Dylan Holloway","STL","LW","Act","24","@COL Sun 7:30PM","40","0.77","52","40"
"*01ex7*","RW","Matt Duchene","DAL","C,RW","Act","35","","39","0.75","52","39"
"*03as8*","RW","Nikolaj Ehlers","CAR","LW,RW","Act","30","CAR 3<br/>@OTT 6 F","65","0.84","77","65"
"*03d12*","RW","David Pastrnak","BOS","RW","Act","29","BOS 1<br/>@PHI 2 F","97","1.33","73","97"
"*04lc0*","D","Evan Bouchard","EDM","D","Act","26","","88","1.14","77","88"
"*03mqg*","D","Jakob Chychrun","WSH","D","Act","28","WSH 1<br/>@NYR 7","59","0.78","76","59"
"*01fx3*","D","Roman Josi","NSH","D","Act","35","","51","0.8","64","51"
"*03wpm*","D","Charlie McAvoy","BOS","D","Act","28","BOS 1<br/>@PHI 2 F","58","0.88","66","58"
"*05xrx*","C","Marco Kasper","DET","C,LW","Res","21","MIN 5<br/>@DET 4 F","18","0.24","76","18"
"*02wy3*","C","Elias Lindholm","BOS","C","Res","31","BOS 1<br/>@PHI 2 F","47","0.72","65","47"
"*04dwk*","C","Josh Norris","BUF","C","Res","26","","28","0.72","39","28"
"*03as9*","C","Dylan Strome","WSH","C","Res","29","WSH 1<br/>@NYR 7","55","0.72","76","55"
"*05kbn*","LW","Will Cuylle","NYR","LW,RW","Res","24","WSH 1<br/>@NYR 7","36","0.46","78","36"
"*003kg*","RW","Patrick Kane","DET","RW","Res","37","MIN 5<br/>@DET 4 F","52","0.84","62","52"
"*0570x*","C","Brad Lambert","WPG","RW","Res","22","","5","0.26","19","5"
"*02ybl*","LW","Valeri Nichushkin","COL","LW,RW","Res","31","STL Sun 7:30PM","45","0.68","66","45"
"*05g42*","RW","Jack Quinn","BUF","RW","Res","24","","49","0.64","77","49"
"*06sqj*","RW","Mason West","CHI","RW","Res","18","","0","0","0","0"
"*03dug*","D","Tony DeAngelo","NYI","D","Res","30","","33","0.46","72","33"

"","Goalies"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","W","SHO"
"*03mbn*","G","Mackenzie Blackwood","COL","G","Act","29","STL Sun 7:30PM","48","1.37","35","21","3"
"*02b3y*","G","John Gibson","DET","G","Act","32","MIN 5<br/>@DET 4 F","64","1.21","53","28","4"
"*02nom*","G","Andrei Vasilevskiy","TBL","G","Act","31","","78","1.44","54","37","2"
"*04zc8*","G","Devin Cooley","CGY","G","Res","28","","20","0.69","29","10","0"
"*06c40*","G","Yegor Zavragin","PHI","G","Res","20","BOS 1<br/>@PHI 2 F","0","0","0","0","0"

