"","Skaters"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","Pt"
"*01zto*","C","Charlie Coyle","CBJ","C,RW","Act","34","","56","0.73","77","56"
"*01f3e*","C","Nazem Kadri","COL","C","Act","35","STL Sun 7:30PM","50","0.67","75","50"
"*027i6*","C","Mika Zibanejad","NYR","C,RW","Act","32","WSH 1<br/>@NYR 7","74","0.96","77","74"
"*02zpp*","LW","Viktor Arvidsson","BOS","LW,RW","Act","32","BOS 1<br/>@PHI 2 F","51","0.77","66","51"
"*02fzm*","LW","Filip Forsberg","NSH","LW","Act","31","","71","0.93","76","71"
"*03rh3*","LW","Kirill Kaprizov","MIN","LW","Act","28","MIN 5<br/>@DET 4 F","87","1.16","75","87"
"*01ztp*","RW","Zach Hyman","EDM","RW","Act","33","","51","0.89","57","51"
"*02yjj*","RW","William Nylander","TOR","RW","Act","29","","73","1.22","60","73"
"*03d09*","RW","Alex Tuch","BUF","RW","Act","29","","61","0.82","74","61"
"*04ld3*","D","Noah Dobson","MTL","D","Act","26","NJD 2<br/>@MTL 0","46","0.6","77","46"
"*051m4*","D","Jackson LaCombe","ANA","D","Act","25","","55","0.71","77","55"
"*04alw*","D","Cale Makar","COL","D","Act","27","STL Sun 7:30PM","75","1.03","73","75"
"*03klz*","D","Darren Raddysh","TBL","D","Act","30","","67","0.97","69","67"
"*039cg*","C","Sam Bennett","FLA","C","Res","29","FLA 2<br/>@PIT 5 F","58","0.78","74","58"
"*03167*","C","Bo Horvat","NYI","C","Res","31","","55","0.86","64","55"
"*0045k*","C","Evgeni Malkin","PIT","C,LW","Res","39","FLA 2<br/>@PIT 5 F","59","1.09","54","59"
"*04mq0*","C","Matt Savoie","EDM","C,RW","Res","22","","33","0.43","77","33"
"*051xf*","LW","Egor Chinakhov","PIT","LW,RW","Res","25","FLA 2<br/>@PIT 5 F","39","0.57","69","39"
"*051u2*","LW","Matias Maccelli","TOR","LW","Res","25","","38","0.58","66","38"
"*004jl*","LW","Brad Marchand","FLA","LW,RW","Res","37","FLA 2<br/>@PIT 5 F","54","1.04","52","54"
"*05gd9*","LW","Zack Bolduc","MTL","LW,RW","Res","23","NJD 2<br/>@MTL 0","28","0.37","75","28"
"*06hcy*","RW","Liam Greentree","NYR","RW","Res","20","WSH 1<br/>@NYR 7","0","0","0","0"
"*066q4*","RW","Konsta Helenius","BUF","RW","Res","19","","4","0.44","9","4"
"*04uql*","LW","Cole Perfetti","WPG","LW,RW","Res","24","","31","0.5","62","31"
"*06pys*","RW","Cameron Schmidt","DAL","RW","Res","19","","0","0","0","0"

"","Goalies"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","W","SHO"
"*04yla*","G","Brandon Bussi","CAR","G","Act","27","CAR 3<br/>@OTT 6 F","62","1.72","36","29","2"
"*03ece*","G","Igor Shesterkin","NYR","G","Act","30","WSH 1<br/>@NYR 7","50","1.02","49","24","1"
"*03rih*","G","Karel Vejmelka","UTA","G","Act","29","","74","1.25","59","35","2"
"*06gk1*","G","Jack Ivankovic","NSH","G","Res","18","","0","0","0","0","0"
"*03nqi*","G","Alex Lyon","BUF","G","Res","33","","46","1.28","36","20","3"

