"","Skaters"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","Pt"
"*02nok*","C","Tomas Hertl","VGK","C,LW","Act","32","","55","0.71","77","55"
"*02azb*","C","Mark Scheifele","WPG","C","Act","33","","94","1.24","76","94"
"*03l0t*","C","Pavel Zacha","BOS","C,LW","Act","28","BOS 1<br/>@PHI 2 F","62","0.83","75","62"
"*02yjp*","LW","Ivan Barbashev","VGK","LW","Act","30","","58","0.75","77","58"
"*05tur*","LW","Matthew Knies","TOR","LW","Act","23","","64","0.86","74","64"
"*02422*","LW","Ryan Nugent-Hopkins","EDM","C,LW","Act","32","","53","0.79","67","53"
"*02wy1*","RW","Jonathan Drouin","STL","LW,RW","Act","31","@COL Sun 7:30PM","22","0.37","60","22"
"*01skr*","RW","Mikael Granlund","ANA","C,RW","Act","34","","35","0.66","53","35"
"*02noj*","RW","Tom Wilson","WSH","RW","Act","32","WSH 1<br/>@NYR 7","58","0.85","68","58"
"*02azf*","D","Dougie Hamilton","NJD","D","Act","32","NJD 2<br/>@MTL 0","35","0.49","72","35"
"*02ybn*","D","Josh Morrissey","WPG","D","Act","31","","52","0.73","71","52"
"*02nqb*","D","Colton Parayko","STL","D","Act","32","@COL Sun 7:30PM","16","0.23","70","16"
"*03ec6*","D","Devon Toews","COL","D","Act","32","STL Sun 7:30PM","22","0.35","62","22"
"*06rqm*","C","Carter Bear","DET","C","Res","19","MIN 5<br/>@DET 4 F","0","0","0","0"
"*05ui4*","C","Dalibor Dvorsky","STL","C","Res","20","@COL Sun 7:30PM","19","0.3","64","19"
"*06axc*","C","Samuel Honzek","CGY","C,LW","Res","21","","4","0.22","18","4"
"*06snd*","LW","Lynden Lakovic","WSH","LW","Res","19","WSH 1<br/>@NYR 7","0","0","0","0"
"*04zo3*","LW","Nick Robertson","TOR","LW,RW","Res","24","","31","0.42","73","31"
"*03yh8*","LW","Owen Tippett","PHI","LW,RW","Res","27","BOS 1<br/>@PHI 2 F","50","0.65","77","50"
"*0644a*","LW","Colby Barlow","WPG","RW","Res","21","","0","0","0","0"
"*06sqm*","RW","Ryker Lee","NSH","RW","Res","19","","0","0","0","0"
"*06hcw*","RW","Beckett Sennecke","ANA","RW","Res","20","","58","0.75","77","58"
"*01skq*","D","Cam Fowler","STL","D","Res","34","@COL Sun 7:30PM","27","0.36","75","27"
"*0243f*","D","Seth Jones","FLA","D","Res","31","FLA 2<br/>@PIT 5 F","31","0.61","51","31"
"*03rip*","D","John Marino","UTA","D","Res","28","","34","0.45","76","34"
"*0616n*","D","Owen Pickering","PIT","D","Res","22","FLA 2<br/>@PIT 5 F","0","0","4","0"
"*06rut*","D","Cameron Reid","NSH","D","Res","18","","0","0","0","0"

"","Goalies"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","W","SHO"
"*01zry*","G","Frederik Andersen","CAR","G","Act","36","CAR 3<br/>@OTT 6 F","28","0.85","33","14","0"
"*01d6c*","G","Jacob Markstrom","NJD","G","Act","36","NJD 2<br/>@MTL 0","44","1.02","43","22","0"
"*02np7*","G","Anthony Stolarz","TOR","G","Act","32","","20","0.8","25","10","0"

