"","Skaters"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","Pt"
"*05rjh*","C","Noah Ostlund","BUF","C","Act","22","","27","0.45","60","27"
"*04o0g*","C","Marco Rossi","VAN","C","Act","24","","31","0.7","44","31"
"*04y80*","C","Shane Wright","SEA","C","Act","22","","26","0.36","72","26"
"*065nx*","LW","Berkly Catton","SEA","C,LW","Act","20","","16","0.27","59","16"
"*05rjd*","LW","Cutter Gauthier","ANA","LW,RW","Act","22","","65","0.89","73","65"
"*05rfa*","LW","Isaac Howard","EDM","LW","Act","22","","5","0.18","28","5"
"*05uh3*","RW","Dmitri Buchelnikov","STL","RW","Act","22","@COL Sun 7:30PM","0","0","0","0"
"*05gda*","RW","Kent Johnson","CBJ","LW,RW","Act","23","","21","0.3","71","21"
"*05rf2*","RW","Logan Stankoven","CAR","C,RW","Act","23","CAR 3<br/>@OTT 6 F","38","0.49","77","38"
"*06ay2*","D","Luca Cagnoni","SJS","D","Act","21","","0","0","0","0"
"*058t9*","D","Seamus Casey","NJD","D","Act","22","NJD 2<br/>@MTL 0","0","0","2","0"
"*06amv*","D","Sam Dickinson","SJS","D","Act","19","","13","0.2","65","13"
"*06hco*","D","Zayne Parekh","CGY","D","Act","20","","6","0.19","31","6"
"*061im*","C","Michael Misa","SJS","C","Res","19","","17","0.45","38","17"
"*06lop*","C","Ivan Ryabkin","CAR","C","Res","18","CAR 3<br/>@OTT 6 F","0","0","0","0"
"*06hcr*","LW","Igor Chernyshov","SJS","LW","Res","20","","14","0.64","22","14"
"*06h8h*","LW","Trevor Connelly","VGK","LW","Res","20","","0","0","0","0"
"*062dy*","LW","Andrew Cristall","WSH","LW","Res","21","WSH 1<br/>@NYR 7","0","0","0","0"
"*06pyk*","RW","Justin Carbonneau","STL","RW","Res","19","@COL Sun 7:30PM","0","0","0","0"
"*064r2*","RW","Ivan Demidov","MTL","RW","Res","20","NJD 2<br/>@MTL 0","60","0.78","77","60"
"*06bdr*","RW","Roman Kantserov","CHI","RW","Res","21","","0","0","0","0"
"*06hj9*","RW","Porter Martone","PHI","RW","Res","19","BOS 1<br/>@PHI 2 F","3","0.75","4","3"
"*06imm*","RW","Roger McQueen","ANA","RW","Res","19","","0","0","0","0"
"*0644b*","C","Will Smith","SJS","C,RW","Res","21","","54","0.87","62","54"
"*065d1*","RW","Matthew Wood","NSH","RW","Res","21","","29","0.45","65","29"
"*06fzv*","D","Cole Hutson","WSH","D","Res","19","WSH 1<br/>@NYR 7","7","0.7","10","7"

"","Goalies"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","W","SHO"
"*06ims*","G","Dmitri Gamzin","NYI","G","Act","22","","0","0","0","0","0"
"*0644l*","G","Michael Hrabal","UTA","G","Act","21","","0","0","0","0","0"
"*061i2*","G","Sergei Murashov","PIT","G","Act","22","FLA 2<br/>@PIT 5 F","4","0.8","5","1","1"
"*06ajy*","G","Cooper Black","FLA","G","Res","24","FLA 2<br/>@PIT 5 F","0","0","0","0","0"

