"","Skaters"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","Pt"
"*05y3a*","C","Leo Carlsson","ANA","C","Act","21","","64","0.98","65","64"
"*00454*","C","Sidney Crosby","PIT","C","Act","38","FLA 2<br/>@PIT 5 F","72","1.09","66","72"
"*05tqt*","C","Wyatt Johnston","DAL","C,RW","Act","22","","80","1.04","77","80"
"*04xec*","LW","Matt Boldy","MIN","LW,RW","Act","25","MIN 5<br/>@DET 4 F","81","1.11","73","81"
"*04dwj*","LW","Jason Robertson","DAL","LW","Act","26","","89","1.16","77","89"
"*04y8g*","LW","Trevor Zegras","PHI","C,LW","Act","25","BOS 1<br/>@PHI 2 F","62","0.81","77","62"
"*05gvq*","RW","Seth Jarvis","CAR","RW","Act","24","CAR 3<br/>@OTT 6 F","66","0.96","69","66"
"*04qy5*","RW","Kirill Marchenko","CBJ","RW","Act","25","","64","0.9","71","64"
"*04ymt*","RW","Lucas Raymond","DET","RW","Act","24","MIN 5<br/>@DET 4 F","73","0.97","75","73"
"*04ymn*","D","Luke Hughes","NJD","D","Act","22","NJD 2<br/>@MTL 0","35","0.52","67","35"
"*04zb4*","D","Moritz Seider","DET","D","Act","24","MIN 5<br/>@DET 4 F","54","0.7","77","54"
"*06nke*","D","Jackson Smith","CBJ","D","Act","18","","0","0","0","0"
"*06hcq*","D","Carter Yakemchuk","OTT","D","Act","20","CAR 3<br/>@OTT 6 F","2","0.5","4","2"
"*05ui2*","C","Logan Cooley","UTA","C","Res","21","","38","0.79","48","38"
"*06nkc*","C","Jake O'Brien","SEA","C","Res","18","","0","0","0","0"
"*06jhe*","C","Cole Reschny","CGY","C","Res","18","","0","0","0","0"
"*051z0*","C","Tim Stutzle","OTT","C,LW","Res","24","CAR 3<br/>@OTT 6 F","79","1.03","77","79"
"*05rjy*","LW","Cole Eiserman","NYI","LW","Res","19","","0","0","0","0"
"*05r1l*","C","William Eklund","SJS","LW,RW","Res","23","","46","0.65","71","46"
"*06loc*","RW","Yegor Surin","NSH","RW","Res","19","","0","0","0","0"
"*05lu8*","D","Alexander Nikishin","CAR","D","Res","24","CAR 3<br/>@OTT 6 F","30","0.39","76","30"

"","Goalies"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","W","SHO"
"*068yu*","G","Trey Augustine","DET","G","Act","21","MIN 5<br/>@DET 4 F","0","0","0","0","0"
"*02o7s*","G","Connor Hellebuyck","WPG","G","Act","32","","42","0.79","53","21","0"
"*051wf*","G","Dustin Wolf","CGY","G","Act","24","","48","0.89","54","22","2"
"*06qqd*","G","Pyotr Andreyanov","CBJ","G","Res","19","","0","0","0","0","0"
"*05oxs*","G","Jakub Dobes","MTL","G","Res","24","NJD 2<br/>@MTL 0","54","1.38","39","27","0"
"*04qzc*","G","Joel Hofer","STL","G","Res","25","@COL Sun 7:30PM","52","1.27","41","20","6"
"*04bii*","G","Spencer Knight","CHI","G","Res","24","","42","0.82","51","18","3"
"*06j7t*","G","Ilya Nabokov","COL","G","Res","23","STL Sun 7:30PM","0","0","0","0","0"
"*06pww*","G","Joshua Ravensbergen","SJS","G","Res","19","","0","0","0","0","0"

