"","Skaters"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","Pt"
"*02un7*","C","Aleksander Barkov","FLA","C","Act","30","FLA 2<br/>@PIT 5 F","0","0","0","0"
"*02un4*","C","Connor McDavid","EDM","C","Act","29","","126","1.64","77","126"
"*05gd7*","C","Cole Sillinger","CBJ","C,LW","Act","22","","33","0.43","76","33"
"*060jj*","LW","Jani Nyman","SEA","LW","Act","21","","6","0.23","26","6"
"*02b3o*","LW","Rickard Rakell","PIT","LW,RW","Act","32","FLA 2<br/>@PIT 5 F","48","0.84","57","48"
"*04kyh*","LW","Brady Tkachuk","OTT","LW","Act","26","CAR 3<br/>@OTT 6 F","54","0.95","57","54"
"*042vl*","RW","Jordan Kyrou","STL","RW","Act","27","@COL Sun 7:30PM","41","0.63","65","41"
"*02un5*","RW","Sam Reinhart","FLA","RW","Act","30","FLA 2<br/>@PIT 5 F","61","0.95","64","61"
"*03rik*","RW","Troy Terry","ANA","RW","Act","28","","54","0.96","56","54"
"*03j8l*","D","Noah Hanifin","VGK","D","Act","29","","25","0.38","66","25"
"*01c13*","D","Victor Hedman","TBL","D","Act","35","","17","0.52","33","17"
"*03de2*","D","Brandon Montour","SEA","D","Act","31","","31","0.54","57","31"
"*031v6*","D","MacKenzie Weegar","UTA","D","Act","32","","25","0.34","73","25"
"*05yn1*","C","Jagger Firkus","SEA","C","Res","21","","0","0","0","0"
"*064om*","C","Michael Hage","MTL","C","Res","19","NJD 2<br/>@MTL 0","0","0","0","0"
"*04yqp*","C","Anton Lundell","FLA","C","Res","24","FLA 2<br/>@PIT 5 F","44","0.69","64","44"
"*06snc*","C","Jack Nesbitt","PHI","C","Res","19","BOS 1<br/>@PHI 2 F","0","0","0","0"
"*05gdb*","C","Justin Robidas","CAR","C","Res","23","CAR 3<br/>@OTT 6 F","1","0.5","2","1"
"*06tmr*","LW","Dmitri Isayev","OTT","LW","Res","19","CAR 3<br/>@OTT 6 F","0","0","0","0"
"*066on*","RW","Michael Brandsegg-Nygard","DET","RW","Res","20","MIN 5<br/>@DET 4 F","1","0.08","12","1"
"*05r2y*","RW","Ivan Miroshnichenko","WSH","RW","Res","22","WSH 1<br/>@NYR 7","3","0.33","9","3"
"*06lo7*","RW","Ilya Pautov","PHI","RW","Res","19","BOS 1<br/>@PHI 2 F","0","0","0","0"
"*06imq*","RW","Maxim Shabanov","NYI","RW","Res","25","","17","0.4","43","17"
"*01sio*","RW","Mats Zuccarello","MIN","RW","Res","38","MIN 5<br/>@DET 4 F","51","0.89","57","51"
"*06axs*","D","Tanner Molendyk","NSH","D","Res","21","","0","0","0","0"
"*067yd*","D","David Reinbacher","MTL","D","Res","21","NJD 2<br/>@MTL 0","0","0","0","0"

"","Goalies"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","W","SHO"
"*03jw0*","G","Joey Daccord","SEA","G","Act","29","","42","0.95","44","19","2"
"*03as7*","G","Thatcher Demko","VAN","G","Act","30","","18","0.9","20","8","1"
"*05mwh*","G","Devon Levi","BUF","G","Act","24","","0","0","0","0","0"

