"","Skaters"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","Pt"
"*02f9l*","C","Nathan MacKinnon","COL","C","Act","30","STL Sun 7:30PM","122","1.65","74","122"
"*03e1m*","C","Brayden Point","TBL","C","Act","30","","47","0.81","58","47"
"*04apb*","C","Robert Thomas","STL","C","Act","26","@COL Sun 7:30PM","53","0.93","57","53"
"*03v70*","LW","Alex DeBrincat","DET","LW","Act","28","MIN 5<br/>@DET 4 F","81","1.05","77","81"
"*04zj5*","LW","JJ Peterka","UTA","LW,RW","Act","24","","44","0.58","76","44"
"*050rc*","LW","Dmitry Voronkov","CBJ","C,LW","Act","25","","32","0.51","63","32"
"*05tv0*","RW","Jackson Blake","CAR","RW","Act","22","CAR 3<br/>@OTT 6 F","49","0.64","77","49"
"*049k7*","RW","Martin Necas","COL","RW","Act","27","STL Sun 7:30PM","94","1.31","72","94"
"*02unz*","RW","Nick Schmaltz","UTA","C,RW","Act","30","","68","0.89","76","68"
"*042w4*","D","Adam Fox","NYR","D","Act","28","WSH 1<br/>@NYR 7","50","0.98","51","50"
"*02nq3*","D","Shayne Gostisbehere","CAR","D","Act","32","CAR 3<br/>@OTT 6 F","47","0.92","51","47"
"*03yg3*","D","Mikhail Sergachev","UTA","D","Act","27","","55","0.76","72","55"
"*04ye7*","D","Cam York","PHI","D","Act","25","BOS 1<br/>@PHI 2 F","26","0.37","70","26"
"*03w5s*","C","Ryan McLeod","BUF","C","Res","26","","50","0.65","77","50"
"*059e2*","C","Justin Sourdif","WSH","C","Res","24","WSH 1<br/>@NYR 7","33","0.45","74","33"
"*060pq*","LW","Alex Bump","PHI","LW","Res","22","BOS 1<br/>@PHI 2 F","8","0.57","14","8"
"*06cl1*","LW","Emmitt Finnie","DET","LW","Res","20","MIN 5<br/>@DET 4 F","28","0.36","77","28"
"*004cq*","LW","Alex Ovechkin","WSH","LW,RW","Res","40","WSH 1<br/>@NYR 7","61","0.78","78","61"
"*06c72*","RW","Braeden Bowman","VGK","RW","Res","22","","26","0.48","54","26"
"*05uao*","RW","Collin Graf","SJS","LW,RW","Res","23","","43","0.58","74","43"
"*06axb*","RW","Nick Lardis","CHI","RW","Res","20","","14","0.39","36","14"
"*06sn9*","D","Kashawn Aitcheson","NYI","D","Res","19","","0","0","0","0"
"*05ltj*","D","Brock Faber","MIN","D","Res","23","MIN 5<br/>@DET 4 F","51","0.66","77","51"

"","Goalies"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","W","SHO"
"*02yjw*","G","Tristan Jarry","EDM","G","Act","30","","40","1.29","31","18","2"
"*0222k*","G","Darcy Kuemper","LAK","G","Act","35","","44","0.9","49","19","3"
"*0457k*","G","Jake Oettinger","DAL","G","Act","27","","68","1.36","50","31","3"
"*04ai3*","G","Kevin Lankinen","VAN","G","Res","30","","18","0.41","44","9","0"
"*03ebi*","G","Elvis Merzlikins","CBJ","G","Res","31","","30","1","30","14","1"
"*04r01*","G","Akira Schmid","VGK","G","Res","25","","36","1.06","34","16","2"
"*05tpw*","G","Semyon Vyazovoy","SEA","G","Res","23","","0","0","0","0","0"

