"","Skaters"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","Pt"
"*04mtp*","C","Dylan Cozens","OTT","C","Act","25","CAR 3<br/>@OTT 6 F","55","0.71","77","55"
"*03rf2*","C","Roope Hintz","DAL","C","Act","29","","44","0.83","53","44"
"*0457f*","C","Nico Hischier","NJD","C","Act","27","NJD 2<br/>@MTL 0","62","0.81","77","62"
"*02ybk*","LW","Artturi Lehkonen","COL","LW","Act","30","STL Sun 7:30PM","46","0.72","64","46"
"*03ra8*","LW","Timo Meier","NJD","LW,RW","Act","29","NJD 2<br/>@MTL 0","42","0.58","72","42"
"*031p3*","LW","Carter Verhaeghe","FLA","LW","Act","30","FLA 2<br/>@PIT 5 F","54","0.72","75","54"
"*04f2d*","RW","Drake Batherson","OTT","LW,RW","Act","27","CAR 3<br/>@OTT 6 F","66","0.89","74","66"
"*03dms*","RW","Kevin Fiala","LAK","LW,RW","Act","29","","40","0.71","56","40"
"*03mn9*","RW","Mikko Rantanen","DAL","RW","Act","29","","73","1.24","59","73"
"*015pv*","D","John Carlson","ANA","D","Act","36","","55","0.83","66","55"
"*03rf8*","D","Vince Dunn","SEA","D","Act","29","","41","0.55","74","41"
"*04lbz*","D","Quinn Hughes","MIN","D","Act","26","MIN 5<br/>@DET 4 F","74","1.04","71","74"
"*02noq*","D","Mike Matheson","MTL","D","Act","32","NJD 2<br/>@MTL 0","37","0.5","74","37"
"*02aez*","C","J.T. Miller","NYR","C,LW,RW","Res","33","WSH 1<br/>@NYR 7","50","0.78","64","50"
"*05rj4*","LW","Fedor Svechkov","NSH","C","Res","23","","16","0.25","64","16"
"*01c12*","C","John Tavares","TOR","C","Res","35","","68","0.88","77","68"
"*057yc*","LW","Brennan Othmann","CGY","LW","Res","23","","3","0.16","19","3"
"*051um*","LW","Arseny Gritsyuk","NJD","LW,RW","Res","25","NJD 2<br/>@MTL 0","31","0.47","66","31"
"*01zvp*","RW","Bryan Rust","PIT","RW","Res","33","FLA 2<br/>@PIT 5 F","64","0.91","70","64"
"*04qve*","D","K'Andre Miller","CAR","D","Res","26","CAR 3<br/>@OTT 6 F","35","0.51","69","35"

"","Goalies"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","W","SHO"
"*016kv*","G","Jake Allen","NJD","G","Act","35","NJD 2<br/>@MTL 0","34","0.97","35","16","1"
"*01ud1*","G","Sergei Bobrovsky","FLA","G","Act","37","FLA 2<br/>@PIT 5 F","62","1.22","51","27","4"
"*03wkz*","G","Connor Ingram","EDM","G","Act","29","","32","1.14","28","14","2"
"*02fda*","G","Jordan Binnington","STL","G","Res","32","@COL Sun 7:30PM","26","0.67","39","12","1"
"*059mt*","G","Nicolas Daws","NJD","G","Res","25","NJD 2<br/>@MTL 0","2","2","1","1","0"
"*04mjq*","G","Colten Ellis","BUF","G","Res","25","","14","1","14","7","0"
"*06hk8*","G","Carter George","LAK","G","Res","19","","0","0","0","0","0"
"*0457i*","G","Ukko-Pekka Luukkonen","BUF","G","Res","27","","40","1.25","32","19","1"
"*04an1*","G","Daniil Tarasov","FLA","G","Res","27","FLA 2<br/>@PIT 5 F","20","0.69","29","10","0"
"*03eap*","G","Vitek Vanecek","UTA","G","Res","30","","12","0.6","20","5","1"

