"","Skaters"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","Pt"
"*04bdb*","C","Jack Hughes","NJD","C,LW","Act","24","NJD 2<br/>@MTL 0","71","1.27","56","71"
"*05yn2*","C","Fraser Minten","BOS","C,LW","Act","21","BOS 1<br/>@PHI 2 F","34","0.44","78","34"
"*06axz*","C","Bradly Nadeau","CAR","C","Act","20","CAR 3<br/>@OTT 6 F","2","0.25","8","2"
"*03kra*","LW","Kyle Connor","WPG","LW","Act","29","","87","1.14","76","87"
"*042yb*","LW","Brandon Hagel","TBL","LW","Act","27","","73","1.06","69","73"
"*051tx*","LW","Aliaksei Protas","WSH","LW,RW","Act","25","WSH 1<br/>@NYR 7","49","0.68","72","49"
"*05r3d*","RW","Josh Doan","BUF","LW,RW","Act","24","","47","0.61","77","47"
"*038vb*","RW","Travis Konecny","PHI","RW","Act","29","BOS 1<br/>@PHI 2 F","66","0.9","73","66"
"*05r1b*","RW","Rutger McGroarty","PIT","LW,RW","Act","22","FLA 2<br/>@PIT 5 F","5","0.24","21","5"
"*04yu6*","D","Jamie Drysdale","PHI","D","Act","23","BOS 1<br/>@PHI 2 F","30","0.41","74","30"
"*04yu5*","D","Thomas Harley","DAL","D","Act","24","","33","0.51","65","33"
"*059e0*","D","Jake Sanderson","OTT","D","Act","23","CAR 3<br/>@OTT 6 F","49","0.77","64","49"
"*03ra7*","D","Zach Werenski","CBJ","D","Act","28","","78","1.11","70","78"
"*04lo0*","C","Quinton Byfield","LAK","C,LW","Res","23","","44","0.6","73","44"
"*06mb0*","RW","Matvei Gridin","CGY","RW","Res","20","","17","0.53","32","17"
"*065ny*","RW","Emil Hemming","DAL","RW","Res","19","","0","0","0","0"
"*06snb*","RW","Benjamin Kindel","PIT","C,RW","Res","18","FLA 2<br/>@PIT 5 F","34","0.45","75","34"
"*06sqp*","RW","Vaclav Nestrasil","CHI","RW","Res","18","","0","0","0","0"
"*01zvf*","RW","Mark Stone","VGK","RW","Res","33","","67","1.22","55","67"
"*06sn8*","RW","Ethan Wyttenbach","CGY","RW","Res","19","","0","0","0","0"
"*05td4*","D","Ryan Ufko","NSH","D","Res","22","","6","0.5","12","6"

"","Goalies"
"ID","Pos","Player","Team","Eligible","Status","Age","Opponent","Fantasy Points","Average Fantasy Points per Game","GP","W","SHO"
"*03zul*","G","Filip Gustavsson","MIN","G","Act","27","MIN 5<br/>@DET 4 F","64","1.33","48","28","4"
"*03rfo*","G","Daniel Vladar","PHI","G","Act","28","BOS 1<br/>@PHI 2 F","52","1.08","48","26","0"
"*01zs1*","G","Scott Wedgewood","COL","G","Act","33","STL Sun 7:30PM","62","1.48","42","28","3"
"*05k7t*","G","Drew Commesso","CHI","G","Res","23","","6","2","3","2","1"
"*05yme*","G","Sergei Ivanov","CBJ","G","Res","22","","0","0","0","0","0"
"*05oxl*","G","Leevi Merilainen","OTT","G","Res","23","CAR 3<br/>@OTT 6 F","16","0.8","20","8","0"
"*06c9i*","G","Pavel Moysevich","VGK","G","Res","21","","0","0","0","0","0"
"*042w1*","G","Joseph Woll","TOR","G","Res","27","","34","0.92","37","15","2"
"*06lom*","G","Mikhail Yegorov","NJD","G","Res","20","NJD 2<br/>@MTL 0","0","0","0","0","0"

